MagneticField(Oe) Temperature(K) Moment(emu) M(emu/g) ChiT(emu/Oeg)
42562,07421875 3,00951955 0,805247801657457 28,1555175404705 2,34950955364733E-5
42762,197265625 3,0100176 0,805508124212355 28,1646197277047 2,33851407070671E-5
42837,126953125 3,0091728 0,805847522311409 28,1764867941052 2,33442359730208E-5
42956,951171875 3,0087489 0,806366852521202 28,194645193049 2,32791195073156E-5
43152,859375 3,0092738 0,806625278115571 28,203681052992 2,3173435421972E-5
43212,900390625 3,00951735 0,806895780993982 28,2131391955938 2,31412377081949E-5
43413,005859375 3,0090349 0,807449487668192 28,2324995688179 2,30345717879853E-5
43558,318359375 3,0094776 0,807759242539376 28,2433301587194 2,29577274253236E-5
43723,92578125 3,01013255 0,80821659706093 28,259321575557 2,28707734297003E-5
43888,685546875 3,0090063 0,808521169162414 28,2699709497348 2,27849156915843E-5
44054,1484375 3,0108218 0,808984845664031 28,2861834148263 2,26993378709546E-5
44109,234375 3,00969765 0,809277799598209 28,2964265593779 2,26709897410229E-5
44218,970703125 3,00910625 0,809576553672554 28,3068725060334 2,26147281155355E-5
44349,029296875 3,0091462 0,81018219754837 28,3280488653276 2,25484078423891E-5
44474,390625 3,008826 0,810413134650173 28,3361235891669 2,2484849954029E-5
44594,4375 3,0085814 0,810606853943381 28,3428969910273 2,24243214190111E-5
44714,404296875 3,0081228 0,810837858687409 28,3509740799793 2,23641579424975E-5
44844,513671875 3,00868595 0,81136695260302 28,3694738672385 2,22992718198919E-5
44974,5546875 3,00932505 0,811644020298516 28,3791615488992 2,22347949178902E-5
45094,77734375 3,0093658 0,811881261807267 28,3874567065478 2,21755169645737E-5
45215,0703125 3,0098444 0,812128331636847 28,3960955117779 2,21165198481079E-5
45425,427734375 3,0089834 0,812679712342615 28,4153745574341 2,2014102010167E-5
45495,556640625 3,0087043 0,812911490585697 28,4234786918076 2,198016847885E-5
45615,73828125 3,00936445 0,8131120351341 28,4304907389545 2,19222583625495E-5
45815,34765625 3,0078144 0,813663148355449 28,4497604320087 2,1826746956128E-5
45985,708984375 3,0091639 0,813864955692468 28,4568166326038 2,17458863217653E-5
46060,658203125 3,0098174 0,814405109564257 28,4757031316174 2,17105017385999E-5
46190,70703125 3,0099057 0,814632273405084 28,4836459232547 2,16493763415108E-5
